reference;type_operation;categorie_produit;quantite;prix_unitaire;valeur_marchandise;devise;pays_origine;pays_destination;mode_transport;distance_km;poids_kg;niveau_douane;priorite;date_operation;saison;duree_prevue_jours;date_livraison_prevue;duree_reelle_jours;date_livraison_reelle;retard
EXP-02892;EXPORT;AGRICOLE;6716;212.96;1430239.36;EUR;Maroc;France;ROUTIER;1933;115295.02;MOYEN;NORMALE;2022-04-17;PRINTEMPS;5;2022-04-22;3;2022-04-20;0
EXP-02893;EXPORT;TEXTILE;4308;44.09;189939.72;EUR;Maroc;Italie;ROUTIER;2094;658.8;ELEVE;NORMALE;2023-10-11;AUTOMNE;5;2023-10-16;4;2023-10-15;0
IMP-02894;IMPORT;ELECTRONIQUE;958;1702.29;1630793.82;EUR;Royaume-Uni;Maroc;ROUTIER;2307;2853.75;MOYEN;NORMALE;2023-05-26;PRINTEMPS;5;2023-05-31;6;2023-06-01;1
IMP-02895;IMPORT;TEXTILE;750;34.57;25927.5;MAD;Émirats arabes unis;Maroc;MARITIME;5894;322.52;MOYEN;URGENTE;2024-01-28;HIVER;17;2024-02-14;18;2024-02-15;1
IMP-02896;IMPORT;TEXTILE;3877;152.11;589730.47;EUR;Turquie;Maroc;MARITIME;4682;2530.2;MOYEN;NORMALE;2025-11-23;AUTOMNE;18;2025-12-11;20;2025-12-13;1
EXP-02897;EXPORT;AGRICOLE;3991;74.63;297848.33;EUR;Maroc;Italie;MARITIME;2268;47860.79;FAIBLE;URGENTE;2025-12-16;HIVER;12;2025-12-28;10;2025-12-26;0
EXP-02898;EXPORT;TEXTILE;4618;315.96;1459103.28;MAD;Maroc;Allemagne;MARITIME;2902;2578.61;MOYEN;NORMALE;2022-12-18;HIVER;13;2022-12-31;17;2023-01-04;1
EXP-02899;EXPORT;EQUIPEMENT_MEDICAL;223;27832.89;6206734.47;USD;Maroc;Canada;MARITIME;6249;1878.52;FAIBLE;URGENTE;2023-11-17;AUTOMNE;20;2023-12-07;25;2023-12-12;1
IMP-02900;IMPORT;MATERIAUX_CONSTRUCTION;1506;1709.77;2574913.62;EUR;Espagne;Maroc;ROUTIER;953;149727.6;FAIBLE;URGENTE;2024-08-22;ETE;4;2024-08-26;2;2024-08-24;0
EXP-02901;EXPORT;ALIMENTAIRE;8395;63.9;536440.5;EUR;Maroc;France;MARITIME;2060;65888.16;MOYEN;URGENTE;2023-11-03;AUTOMNE;12;2023-11-15;11;2023-11-14;0
EXP-02902;EXPORT;MATERIAUX_CONSTRUCTION;1775;1784.08;3166742.0;EUR;Maroc;Belgique;ROUTIER;2454;72282.04;ELEVE;NORMALE;2022-04-12;PRINTEMPS;6;2022-04-18;5;2022-04-17;0
EXP-02903;EXPORT;MATERIAUX_CONSTRUCTION;899;1518.61;1365230.39;USD;Maroc;Corée du Sud;MARITIME;11286;71141.68;MOYEN;NORMALE;2025-04-24;PRINTEMPS;30;2025-05-24;30;2025-05-24;0
IMP-02904;IMPORT;ELECTRONIQUE;387;8684.14;3360762.18;MAD;Portugal;Maroc;ROUTIER;862;103.09;MOYEN;NORMALE;2023-09-07;AUTOMNE;3;2023-09-10;5;2023-09-12;1
EXP-02905;EXPORT;MACHINES;6;29952.05;179712.3;USD;Maroc;Canada;MARITIME;5755;8889.23;ELEVE;NORMALE;2025-01-28;HIVER;20;2025-02-17;18;2025-02-15;0
EXP-02906;EXPORT;ELECTRONIQUE;552;4895.48;2702304.96;USD;Maroc;États-Unis;MARITIME;6726;3107.66;ELEVE;NORMALE;2024-04-08;PRINTEMPS;21;2024-04-29;21;2024-04-29;0
EXP-02907;EXPORT;EQUIPEMENT_MEDICAL;490;29821.58;14612574.2;USD;Maroc;Émirats arabes unis;MARITIME;5786;3394.99;MOYEN;NORMALE;2024-04-21;PRINTEMPS;17;2024-05-08;17;2024-05-08;0
EXP-02908;EXPORT;MATERIAUX_CONSTRUCTION;210;889.49;186792.9;USD;Maroc;Corée du Sud;MARITIME;10922;1261.66;MOYEN;NORMALE;2024-06-30;ETE;27;2024-07-27;25;2024-07-25;0
EXP-02909;EXPORT;COSMETIQUE;958;344.75;330270.5;EUR;Maroc;Portugal;ROUTIER;866;632.41;FAIBLE;NORMALE;2025-08-25;ETE;3;2025-08-28;5;2025-08-30;1
IMP-02910;IMPORT;MATERIAUX_CONSTRUCTION;1853;31.81;58943.93;EUR;Turquie;Maroc;MARITIME;4686;167542.0;FAIBLE;NORMALE;2023-12-14;HIVER;16;2023-12-30;14;2023-12-28;0
EXP-02911;EXPORT;AGRICOLE;8400;240.75;2022300.0;USD;Maroc;Émirats arabes unis;AERIEN;5993;73774.5;MOYEN;NORMALE;2025-07-04;ETE;4;2025-07-08;5;2025-07-09;1
IMP-02912;IMPORT;EQUIPEMENT_MEDICAL;412;4955.83;2041801.96;EUR;France;Maroc;ROUTIER;1990;22526.45;MOYEN;NORMALE;2023-06-15;ETE;5;2023-06-20;4;2023-06-19;0
IMP-02913;IMPORT;MATERIAUX_CONSTRUCTION;1438;1160.94;1669431.72;USD;Émirats arabes unis;Maroc;MARITIME;6162;30492.66;MOYEN;NORMALE;2025-11-10;AUTOMNE;19;2025-11-29;18;2025-11-28;0
IMP-02914;IMPORT;ALIMENTAIRE;3206;54.63;175143.78;MAD;Espagne;Maroc;ROUTIER;963;13365.96;MOYEN;NORMALE;2025-04-25;PRINTEMPS;3;2025-04-28;5;2025-04-30;1
IMP-02915;IMPORT;TEXTILE;3404;440.0;1497760.0;USD;États-Unis;Maroc;MARITIME;6206;2002.8;MOYEN;NORMALE;2025-09-09;AUTOMNE;19;2025-09-28;18;2025-09-27;0
IMP-02916;IMPORT;TEXTILE;3306;230.29;761338.74;MAD;Pays-Bas;Maroc;MARITIME;2490;3962.16;FAIBLE;NORMALE;2025-06-29;ETE;13;2025-07-12;12;2025-07-11;0
EXP-02917;EXPORT;ELECTRONIQUE;145;7046.88;1021797.6;USD;Maroc;Canada;MARITIME;6217;293.39;FAIBLE;NORMALE;2023-01-30;HIVER;18;2023-02-17;17;2023-02-16;0
IMP-02918;IMPORT;MATERIAUX_CONSTRUCTION;1985;1829.14;3630842.9;USD;États-Unis;Maroc;MARITIME;6349;82943.19;MOYEN;URGENTE;2024-01-07;HIVER;21;2024-01-28;19;2024-01-26;0
IMP-02919;IMPORT;MATERIAUX_CONSTRUCTION;1923;416.18;800314.14;USD;Canada;Maroc;AERIEN;6235;171981.51;ELEVE;NORMALE;2024-10-16;AUTOMNE;4;2024-10-20;6;2024-10-22;1
IMP-02920;IMPORT;ELECTRONIQUE;293;3932.3;1152163.9;EUR;France;Maroc;MARITIME;2062;550.44;MOYEN;NORMALE;2023-05-09;PRINTEMPS;12;2023-05-21;11;2023-05-20;0
EXP-02921;EXPORT;EQUIPEMENT_MEDICAL;446;25549.04;11394871.84;EUR;Maroc;Belgique;MARITIME;2468;16557.27;MOYEN;NORMALE;2022-03-20;PRINTEMPS;11;2022-03-31;10;2022-03-30;0
IMP-02922;IMPORT;PHARMACEUTIQUE;3899;34.46;134359.54;EUR;France;Maroc;ROUTIER;2006;3909.6;ELEVE;NORMALE;2025-02-09;HIVER;5;2025-02-14;6;2025-02-15;1
IMP-02923;IMPORT;TEXTILE;4568;465.25;2125262.0;USD;Émirats arabes unis;Maroc;MARITIME;5995;4798.86;FAIBLE;NORMALE;2023-10-19;AUTOMNE;19;2023-11-07;24;2023-11-12;1
EXP-02924;EXPORT;MATERIAUX_CONSTRUCTION;387;1012.72;391922.64;EUR;Maroc;Allemagne;ROUTIER;2784;30760.86;FAIBLE;NORMALE;2022-02-19;HIVER;7;2022-02-26;6;2022-02-25;0
IMP-02925;IMPORT;AUTOMOBILE;347;869.31;301650.57;MAD;Espagne;Maroc;ROUTIER;959;16428.16;MOYEN;NORMALE;2024-01-28;HIVER;3;2024-01-31;3;2024-01-31;0
IMP-02926;IMPORT;MATERIAUX_CONSTRUCTION;1350;549.12;741312.0;MAD;Émirats arabes unis;Maroc;MARITIME;5915;72527.11;MOYEN;NORMALE;2023-03-03;PRINTEMPS;20;2023-03-23;25;2023-03-28;1
IMP-02927;IMPORT;MACHINES;9;36465.95;328193.55;EUR;Belgique;Maroc;ROUTIER;2604;10637.38;ELEVE;NORMALE;2025-07-18;ETE;6;2025-07-24;5;2025-07-23;0
EXP-02928;EXPORT;AUTOMOBILE;533;2380.79;1268961.07;MAD;Maroc;Royaume-Uni;MARITIME;2195;32813.31;MOYEN;NORMALE;2025-02-24;HIVER;12;2025-03-08;13;2025-03-09;1
EXP-02929;EXPORT;COSMETIQUE;471;225.08;106012.68;EUR;Maroc;Italie;MARITIME;2272;160.13;FAIBLE;NORMALE;2024-01-22;HIVER;12;2024-02-03;15;2024-02-06;1
IMP-02930;IMPORT;AUTOMOBILE;925;2208.24;2042622.0;USD;Japon;Maroc;MARITIME;11925;53910.52;FAIBLE;NORMALE;2025-01-01;HIVER;29;2025-01-30;27;2025-01-28;0
EXP-02931;EXPORT;COSMETIQUE;4621;382.71;1768502.91;EUR;Maroc;Pays-Bas;ROUTIER;2666;3548.52;ELEVE;URGENTE;2023-10-08;AUTOMNE;5;2023-10-13;5;2023-10-13;0
EXP-02932;EXPORT;MATERIAUX_CONSTRUCTION;1235;968.27;1195813.45;USD;Maroc;Japon;AERIEN;11188;54378.14;MOYEN;NORMALE;2024-12-29;HIVER;5;2025-01-03;5;2025-01-03;0
IMP-02933;IMPORT;EQUIPEMENT_MEDICAL;202;619.99;125237.98;EUR;Espagne;Maroc;MARITIME;953;4485.16;MOYEN;NORMALE;2023-03-31;PRINTEMPS;8;2023-04-08;6;2023-04-06;0
EXP-02934;EXPORT;MATERIAUX_CONSTRUCTION;670;945.26;633324.2;EUR;Maroc;Portugal;ROUTIER;914;55019.84;MOYEN;NORMALE;2024-06-10;ETE;3;2024-06-13;2;2024-06-12;0
EXP-02935;EXPORT;ELECTRONIQUE;375;1925.91;722216.25;MAD;Maroc;Chine;MARITIME;9694;2986.86;MOYEN;NORMALE;2023-02-19;HIVER;25;2023-03-16;25;2023-03-16;0
EXP-02936;EXPORT;TEXTILE;4857;280.16;1360737.12;EUR;Maroc;France;MARITIME;2000;4635.3;MOYEN;NORMALE;2025-03-01;PRINTEMPS;11;2025-03-12;16;2025-03-17;1
EXP-02937;EXPORT;AUTOMOBILE;423;2355.93;996558.39;USD;Maroc;Canada;MARITIME;6111;39557.25;MOYEN;URGENTE;2024-11-04;AUTOMNE;20;2024-11-24;27;2024-12-01;1
IMP-02938;IMPORT;ALIMENTAIRE;8468;90.26;764321.68;USD;Émirats arabes unis;Maroc;MARITIME;6219;27550.33;MOYEN;NORMALE;2024-03-28;PRINTEMPS;21;2024-04-18;21;2024-04-18;0
EXP-02939;EXPORT;ALIMENTAIRE;3068;96.54;296184.72;USD;Maroc;Japon;AERIEN;11628;3646.19;ELEVE;NORMALE;2025-10-19;AUTOMNE;5;2025-10-24;6;2025-10-25;1
IMP-02940;IMPORT;MATERIAUX_CONSTRUCTION;1922;1703.45;3274030.9;USD;Japon;Maroc;AERIEN;11222;171207.84;ELEVE;NORMALE;2023-06-26;ETE;6;2023-07-02;4;2023-06-30;0
IMP-02941;IMPORT;COSMETIQUE;2707;274.2;742259.4;EUR;Belgique;Maroc;MARITIME;2489;4980.82;FAIBLE;NORMALE;2023-05-21;PRINTEMPS;11;2023-06-01;9;2023-05-30;0
EXP-02942;EXPORT;COSMETIQUE;3499;155.85;545319.15;MAD;Maroc;Turquie;AERIEN;4563;2359.53;MOYEN;NORMALE;2022-03-02;PRINTEMPS;4;2022-03-06;2;2022-03-04;0
IMP-02943;IMPORT;AUTOMOBILE;465;2667.79;1240522.35;USD;Canada;Maroc;MARITIME;6085;42925.21;ELEVE;NORMALE;2025-02-12;HIVER;19;2025-03-03;17;2025-03-01;0
EXP-02944;EXPORT;PHARMACEUTIQUE;707;346.96;245300.72;EUR;Maroc;France;MARITIME;1997;1351.52;FAIBLE;NORMALE;2024-12-16;HIVER;11;2024-12-27;11;2024-12-27;0
EXP-02945;EXPORT;MACHINES;50;98307.57;4915378.5;USD;Maroc;Corée du Sud;MARITIME;11104;28834.8;MOYEN;NORMALE;2022-09-02;AUTOMNE;29;2022-10-01;28;2022-09-30;0
IMP-02946;IMPORT;EQUIPEMENT_MEDICAL;249;12550.82;3125154.18;EUR;Pays-Bas;Maroc;MARITIME;2607;5144.82;ELEVE;NORMALE;2023-04-08;PRINTEMPS;13;2023-04-21;14;2023-04-22;1
EXP-02947;EXPORT;AGRICOLE;5321;124.85;664326.85;EUR;Maroc;Royaume-Uni;ROUTIER;2212;41752.09;MOYEN;NORMALE;2022-08-24;ETE;5;2022-08-29;7;2022-08-31;1
EXP-02948;EXPORT;PHARMACEUTIQUE;2786;570.97;1590722.42;EUR;Maroc;Allemagne;ROUTIER;2787;2431.42;MOYEN;NORMALE;2025-09-21;AUTOMNE;6;2025-09-27;5;2025-09-26;0
EXP-02949;EXPORT;COSMETIQUE;292;58.46;17070.32;MAD;Maroc;France;ROUTIER;1952;577.77;FAIBLE;NORMALE;2025-06-15;ETE;5;2025-06-20;3;2025-06-18;0
IMP-02950;IMPORT;ALIMENTAIRE;3824;125.98;481747.52;USD;Japon;Maroc;MARITIME;11622;25738.61;FAIBLE;NORMALE;2023-03-24;PRINTEMPS;31;2023-04-24;31;2023-04-24;0
EXP-02951;EXPORT;COSMETIQUE;811;39.59;32107.49;USD;Maroc;Émirats arabes unis;MARITIME;5924;610.51;MOYEN;NORMALE;2025-02-27;HIVER;19;2025-03-18;17;2025-03-16;0
IMP-02952;IMPORT;ALIMENTAIRE;8381;38.61;323590.41;EUR;Portugal;Maroc;ROUTIER;913;31706.98;MOYEN;NORMALE;2023-09-18;AUTOMNE;4;2023-09-22;2;2023-09-20;0
EXP-02953;EXPORT;PHARMACEUTIQUE;347;575.24;199608.28;EUR;Maroc;Espagne;ROUTIER;951;597.34;MOYEN;NORMALE;2022-03-16;PRINTEMPS;4;2022-03-20;3;2022-03-19;0
IMP-02954;IMPORT;TEXTILE;3987;444.84;1773577.08;EUR;France;Maroc;ROUTIER;2071;10449.67;MOYEN;NORMALE;2023-05-25;PRINTEMPS;5;2023-05-30;5;2023-05-30;0
EXP-02955;EXPORT;ALIMENTAIRE;6068;101.46;615659.28;EUR;Maroc;Allemagne;MARITIME;2802;33915.55;MOYEN;URGENTE;2025-08-17;ETE;13;2025-08-30;14;2025-08-31;1
EXP-02956;EXPORT;COSMETIQUE;4765;444.45;2117804.25;MAD;Maroc;Pays-Bas;MARITIME;2586;664.27;MOYEN;NORMALE;2024-04-23;PRINTEMPS;13;2024-05-06;13;2024-05-06;0
EXP-02957;EXPORT;ALIMENTAIRE;6358;9.86;62689.88;EUR;Maroc;France;ROUTIER;1954;2670.24;MOYEN;NORMALE;2023-03-14;PRINTEMPS;5;2023-03-19;3;2023-03-17;0
EXP-02958;EXPORT;ALIMENTAIRE;7562;102.69;776541.78;EUR;Maroc;Pays-Bas;ROUTIER;2486;69286.79;FAIBLE;NORMALE;2023-09-20;AUTOMNE;6;2023-09-26;8;2023-09-28;1
IMP-02959;IMPORT;MACHINES;90;59436.27;5349264.3;USD;Chine;Maroc;AERIEN;10217;66338.63;ELEVE;NORMALE;2022-01-31;HIVER;5;2022-02-05;3;2022-02-03;0
EXP-02960;EXPORT;ALIMENTAIRE;1472;42.75;62928.0;USD;Maroc;Japon;MARITIME;11321;1300.62;ELEVE;URGENTE;2024-10-07;AUTOMNE;32;2024-11-08;40;2024-11-16;1
IMP-02961;IMPORT;PHARMACEUTIQUE;1942;40.06;77796.52;EUR;Portugal;Maroc;AERIEN;911;2592.17;MOYEN;NORMALE;2022-04-12;PRINTEMPS;2;2022-04-14;2;2022-04-14;0
IMP-02962;IMPORT;PHARMACEUTIQUE;2876;685.52;1971555.52;MAD;Japon;Maroc;AERIEN;12016;3089.79;MOYEN;NORMALE;2023-04-12;PRINTEMPS;5;2023-04-17;4;2023-04-16;0
IMP-02963;IMPORT;COSMETIQUE;2344;457.62;1072661.28;EUR;Belgique;Maroc;MARITIME;2572;2314.96;ELEVE;NORMALE;2024-07-19;ETE;11;2024-07-30;10;2024-07-29;0
IMP-02964;IMPORT;ELECTRONIQUE;620;5193.52;3219982.4;EUR;France;Maroc;ROUTIER;1958;2800.16;MOYEN;NORMALE;2024-07-11;ETE;5;2024-07-16;5;2024-07-16;0
IMP-02965;IMPORT;MACHINES;65;38122.09;2477935.85;EUR;Portugal;Maroc;ROUTIER;942;79863.29;ELEVE;NORMALE;2022-09-21;AUTOMNE;3;2022-09-24;5;2022-09-26;1
IMP-02966;IMPORT;MATERIAUX_CONSTRUCTION;1572;536.86;843943.92;EUR;Pays-Bas;Maroc;MARITIME;2727;47360.3;MOYEN;NORMALE;2024-08-19;ETE;13;2024-09-01;16;2024-09-04;1
IMP-02967;IMPORT;AGRICOLE;939;156.66;147103.74;EUR;Turquie;Maroc;MARITIME;4659;561.64;ELEVE;NORMALE;2023-07-18;ETE;17;2023-08-04;23;2023-08-10;1
EXP-02968;EXPORT;MACHINES;80;6952.23;556178.4;USD;Maroc;Canada;MARITIME;6298;77723.1;FAIBLE;NORMALE;2024-07-10;ETE;18;2024-07-28;25;2024-08-04;1
IMP-02969;IMPORT;MATERIAUX_CONSTRUCTION;211;652.29;137633.19;EUR;Espagne;Maroc;ROUTIER;1000;6318.33;MOYEN;NORMALE;2023-09-24;AUTOMNE;3;2023-09-27;2;2023-09-26;0
EXP-02970;EXPORT;EQUIPEMENT_MEDICAL;194;28436.56;5516692.64;EUR;Maroc;France;MARITIME;2028;21023.62;MOYEN;NORMALE;2022-02-27;HIVER;10;2022-03-09;12;2022-03-11;1
EXP-02971;EXPORT;AGRICOLE;3005;5.98;17969.9;EUR;Maroc;Pays-Bas;ROUTIER;2628;46355.41;MOYEN;NORMALE;2022-09-24;AUTOMNE;6;2022-09-30;4;2022-09-28;0
EXP-02972;EXPORT;MATERIAUX_CONSTRUCTION;1071;999.37;1070325.27;USD;Maroc;Japon;MARITIME;11730;38809.94;MOYEN;NORMALE;2023-05-10;PRINTEMPS;29;2023-06-08;29;2023-06-08;0
EXP-02973;EXPORT;PHARMACEUTIQUE;2243;125.48;281451.64;EUR;Maroc;Pays-Bas;MARITIME;2622;3081.39;ELEVE;URGENTE;2024-11-29;AUTOMNE;13;2024-12-12;11;2024-12-10;0
EXP-02974;EXPORT;ALIMENTAIRE;792;19.59;15515.28;USD;Maroc;États-Unis;MARITIME;6404;6393.08;MOYEN;NORMALE;2022-12-06;HIVER;19;2022-12-25;17;2022-12-23;0
IMP-02975;IMPORT;MACHINES;95;26268.7;2495526.5;EUR;Pays-Bas;Maroc;MARITIME;2488;182809.48;MOYEN;NORMALE;2024-10-08;AUTOMNE;12;2024-10-20;11;2024-10-19;0
EXP-02976;EXPORT;TEXTILE;3565;379.73;1353737.45;USD;Maroc;Émirats arabes unis;AERIEN;5928;9241.1;FAIBLE;URGENTE;2023-11-06;AUTOMNE;4;2023-11-10;2;2023-11-08;0
EXP-02977;EXPORT;EQUIPEMENT_MEDICAL;399;17110.01;6826893.99;USD;Maroc;Corée du Sud;MARITIME;11354;53157.51;MOYEN;URGENTE;2024-05-18;PRINTEMPS;27;2024-06-14;30;2024-06-17;1
IMP-02978;IMPORT;ELECTRONIQUE;905;5882.02;5323228.1;USD;Chine;Maroc;MARITIME;9596;3106.17;MOYEN;NORMALE;2023-10-29;AUTOMNE;28;2023-11-26;28;2023-11-26;0
EXP-02979;EXPORT;EQUIPEMENT_MEDICAL;469;24927.56;11691025.64;USD;Maroc;Corée du Sud;AERIEN;11408;11997.42;MOYEN;URGENTE;2022-12-16;HIVER;5;2022-12-21;3;2022-12-19;0
EXP-02980;EXPORT;AUTOMOBILE;100;475.88;47588.0;EUR;Maroc;Pays-Bas;ROUTIER;2513;8829.54;MOYEN;NORMALE;2025-10-17;AUTOMNE;6;2025-10-23;5;2025-10-22;0
IMP-02981;IMPORT;TEXTILE;2643;433.34;1145317.62;USD;Turquie;Maroc;MARITIME;4569;2562.07;MOYEN;NORMALE;2025-05-19;PRINTEMPS;16;2025-06-04;15;2025-06-03;0
EXP-02982;EXPORT;PHARMACEUTIQUE;1708;561.81;959571.48;EUR;Maroc;Allemagne;MARITIME;2821;106.52;ELEVE;NORMALE;2025-10-21;AUTOMNE;13;2025-11-03;12;2025-11-02;0
EXP-02983;EXPORT;MACHINES;1;66470.39;66470.39;MAD;Maroc;Chine;AERIEN;10174;164.64;FAIBLE;NORMALE;2023-04-14;PRINTEMPS;6;2023-04-20;6;2023-04-20;0
EXP-02984;EXPORT;ALIMENTAIRE;810;74.14;60053.4;MAD;Maroc;Royaume-Uni;MARITIME;2248;4758.52;MOYEN;NORMALE;2025-08-30;ETE;12;2025-09-11;10;2025-09-09;0
EXP-02985;EXPORT;ELECTRONIQUE;104;6507.29;676758.16;MAD;Maroc;États-Unis;MARITIME;6351;55.25;FAIBLE;NORMALE;2024-07-29;ETE;19;2024-08-17;18;2024-08-16;0
EXP-02986;EXPORT;MACHINES;54;85194.94;4600526.76;USD;Maroc;Royaume-Uni;ROUTIER;2378;91783.0;MOYEN;URGENTE;2024-02-15;HIVER;5;2024-02-20;4;2024-02-19;0
IMP-02987;IMPORT;ELECTRONIQUE;355;124.16;44076.8;USD;États-Unis;Maroc;AERIEN;6574;1492.86;ELEVE;NORMALE;2023-09-09;AUTOMNE;4;2023-09-13;3;2023-09-12;0
IMP-02988;IMPORT;PHARMACEUTIQUE;4025;643.74;2591053.5;EUR;Espagne;Maroc;MARITIME;1034;6981.11;ELEVE;NORMALE;2025-12-10;HIVER;10;2025-12-20;11;2025-12-21;1
IMP-02989;IMPORT;PHARMACEUTIQUE;1400;552.31;773234.0;USD;États-Unis;Maroc;MARITIME;6494;70.19;MOYEN;URGENTE;2023-10-22;AUTOMNE;19;2023-11-10;17;2023-11-08;0
IMP-02990;IMPORT;ELECTRONIQUE;500;1092.82;546410.0;EUR;Pays-Bas;Maroc;ROUTIER;2582;3376.8;MOYEN;NORMALE;2024-02-13;HIVER;6;2024-02-19;6;2024-02-19;0
IMP-02991;IMPORT;AGRICOLE;9906;193.74;1919188.44;MAD;Espagne;Maroc;ROUTIER;994;135561.71;FAIBLE;NORMALE;2023-07-06;ETE;3;2023-07-09;5;2023-07-11;1
IMP-02992;IMPORT;AGRICOLE;4942;186.69;922621.98;USD;Chine;Maroc;MARITIME;10363;81950.55;ELEVE;NORMALE;2025-10-10;AUTOMNE;29;2025-11-08;38;2025-11-17;1
EXP-02993;EXPORT;EQUIPEMENT_MEDICAL;281;15499.0;4355219.0;USD;Maroc;Royaume-Uni;ROUTIER;2244;21344.58;MOYEN;NORMALE;2023-09-29;AUTOMNE;5;2023-10-04;4;2023-10-03;0
EXP-02994;EXPORT;MATERIAUX_CONSTRUCTION;433;1878.85;813542.05;MAD;Maroc;Belgique;MARITIME;2593;11804.25;MOYEN;NORMALE;2022-12-29;HIVER;12;2023-01-10;10;2023-01-08;0
IMP-02995;IMPORT;AUTOMOBILE;882;3829.37;3377504.34;EUR;Espagne;Maroc;MARITIME;988;83058.02;MOYEN;NORMALE;2023-12-28;HIVER;9;2024-01-06;7;2024-01-04;0
EXP-02996;EXPORT;MATERIAUX_CONSTRUCTION;376;1814.46;682236.96;EUR;Maroc;France;MARITIME;1959;8399.29;MOYEN;NORMALE;2022-05-16;PRINTEMPS;12;2022-05-28;10;2022-05-26;0
EXP-02997;EXPORT;COSMETIQUE;2771;37.41;103663.11;EUR;Maroc;Espagne;MARITIME;1014;1643.71;MOYEN;NORMALE;2023-05-07;PRINTEMPS;9;2023-05-16;8;2023-05-15;0
IMP-02998;IMPORT;AUTOMOBILE;130;4421.73;574824.9;USD;États-Unis;Maroc;MARITIME;6216;10807.96;MOYEN;NORMALE;2025-01-08;HIVER;20;2025-01-28;25;2025-02-02;1
IMP-02999;IMPORT;COSMETIQUE;2600;147.9;384540.0;EUR;Belgique;Maroc;MARITIME;2567;1456.92;MOYEN;NORMALE;2024-06-20;ETE;11;2024-07-01;13;2024-07-03;1
IMP-03000;IMPORT;TEXTILE;1415;228.33;323086.95;MAD;Canada;Maroc;MARITIME;6058;3596.02;MOYEN;URGENTE;2024-10-09;AUTOMNE;17;2024-10-26;15;2024-10-24;0
EXP-03001;EXPORT;TEXTILE;3613;450.31;1626970.03;EUR;Maroc;Belgique;ROUTIER;2556;4831.52;MOYEN;NORMALE;2022-05-29;PRINTEMPS;6;2022-06-04;7;2022-06-05;1
EXP-03002;EXPORT;MATERIAUX_CONSTRUCTION;111;697.73;77448.03;EUR;Maroc;France;ROUTIER;2096;6026.57;MOYEN;NORMALE;2024-04-18;PRINTEMPS;5;2024-04-23;3;2024-04-21;0
EXP-03003;EXPORT;AGRICOLE;3394;89.04;302201.76;USD;Maroc;Turquie;MARITIME;4379;1133.26;MOYEN;NORMALE;2025-04-22;PRINTEMPS;17;2025-05-09;23;2025-05-15;1
EXP-03004;EXPORT;ALIMENTAIRE;5580;93.56;522064.8;EUR;Maroc;Allemagne;ROUTIER;2791;35767.49;ELEVE;NORMALE;2025-04-22;PRINTEMPS;6;2025-04-28;6;2025-04-28;0
EXP-03005;EXPORT;EQUIPEMENT_MEDICAL;298;1618.01;482166.98;EUR;Maroc;Espagne;MARITIME;1036;595.5;FAIBLE;NORMALE;2023-01-06;HIVER;8;2023-01-14;12;2023-01-18;1
EXP-03006;EXPORT;MATERIAUX_CONSTRUCTION;720;1162.97;837338.4;EUR;Maroc;France;ROUTIER;1933;61762.84;FAIBLE;NORMALE;2025-11-29;AUTOMNE;5;2025-12-04;7;2025-12-06;1
IMP-03007;IMPORT;AUTOMOBILE;545;3204.58;1746496.1;EUR;Espagne;Maroc;MARITIME;981;6867.94;MOYEN;NORMALE;2023-06-09;ETE;9;2023-06-18;9;2023-06-18;0
EXP-03008;EXPORT;AUTOMOBILE;170;4537.74;771415.8;EUR;Maroc;Pays-Bas;ROUTIER;2564;3616.49;FAIBLE;NORMALE;2023-03-08;PRINTEMPS;5;2023-03-13;4;2023-03-12;0
IMP-03009;IMPORT;PHARMACEUTIQUE;1972;266.09;524729.48;EUR;Allemagne;Maroc;ROUTIER;2867;655.2;MOYEN;NORMALE;2022-11-03;AUTOMNE;6;2022-11-09;6;2022-11-09;0
IMP-03010;IMPORT;AUTOMOBILE;917;1191.19;1092321.23;USD;Royaume-Uni;Maroc;ROUTIER;2282;2642.33;MOYEN;NORMALE;2025-02-03;HIVER;5;2025-02-08;4;2025-02-07;0
IMP-03011;IMPORT;PHARMACEUTIQUE;391;486.34;190158.94;USD;Japon;Maroc;MARITIME;11108;537.05;MOYEN;NORMALE;2024-11-27;AUTOMNE;27;2024-12-24;39;2025-01-05;1
IMP-03012;IMPORT;COSMETIQUE;1388;318.72;442383.36;USD;États-Unis;Maroc;MARITIME;6504;1047.03;FAIBLE;NORMALE;2024-07-14;ETE;19;2024-08-02;22;2024-08-05;1
IMP-03013;IMPORT;AUTOMOBILE;969;3562.99;3452537.31;USD;États-Unis;Maroc;MARITIME;6441;8902.01;ELEVE;NORMALE;2024-05-06;PRINTEMPS;21;2024-05-27;20;2024-05-26;0
IMP-03014;IMPORT;PHARMACEUTIQUE;831;832.84;692090.04;MAD;Canada;Maroc;MARITIME;6262;1458.49;ELEVE;NORMALE;2022-02-20;HIVER;20;2022-03-12;19;2022-03-11;0
EXP-03015;EXPORT;AUTOMOBILE;460;4939.24;2272050.4;EUR;Maroc;Espagne;ROUTIER;997;27230.72;ELEVE;NORMALE;2023-03-10;PRINTEMPS;3;2023-03-13;4;2023-03-14;1
